name,type,flavors,positive_effects,negative_effects,ailment,search
Qrazy Train,hybrid,"Earthy, Pungent, Diesel","Relaxed, Euphoric, Happy, Uplifted, Focused","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Pain, Stress, Lack of Appetite, Headache, Headaches","Qrazy Train,Relaxed, Euphoric, Happy, Uplifted, Focused,Earthy, Pungent, Diesel,Depression, Pain, Stress, Lack of Appetite, Headache, Headaches"
Quantum Kush,sativa,"Earthy, Sweet, Pungent","Relaxed, Happy, Creative, Energetic, Uplifted","Dizzy, Dry Mouth, Dry Eyes","Depression, Pain, Stress, Lack of Appetite, Headache, Fatigue","Quantum Kush,Relaxed, Happy, Creative, Energetic, Uplifted,Earthy, Sweet, Pungent,Depression, Pain, Stress, Lack of Appetite, Headache, Fatigue"
Quebec Gold,hybrid,"Pungent, Skunk, Citrus","Relaxed, Euphoric, Happy, Energetic, Sleepy","Dizzy, Dry Mouth, Dry Eyes, Anxious","Depression, Pain, Stress, Lack of Appetite, Fatigue","Quebec Gold,Relaxed, Euphoric, Happy, Energetic, Sleepy,Pungent, Skunk, Citrus,Depression, Pain, Stress, Lack of Appetite, Fatigue"
Queen's Panties,hybrid,Citrus,"Relaxed, Happy, Creative, Energetic, Talkative",Not Available,"Insomnia, Stress","Queen's Panties,Relaxed, Happy, Creative, Energetic, Talkative,Citrus,Insomnia, Stress"
Querkle,indica,"Berry, Sweet, Earthy","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Dizzy, Dry Mouth, Dry Eyes, Anxious","Depression, Insomnia, Pain, Stress, Headache, Muscle Spasms","Querkle,Relaxed, Euphoric, Happy, Uplifted, Sleepy,Berry, Sweet, Earthy,Depression, Insomnia, Pain, Stress, Headache, Muscle Spasms"
Queso,hybrid,"Cheese, Earthy, Skunk","Tingly, Sleepy","Dry Mouth, Paranoid, Anxious","Depression, Pain, Stress, Lack of Appetite, Fatigue","Queso,Tingly, Sleepy,Cheese, Earthy, Skunk,Depression, Pain, Stress, Lack of Appetite, Fatigue"
Quin-N-Tonic,indica,"Blueberry, Sweet, Pungent","Relaxed, Hungry, Happy, Tingly, Focused","Dry Mouth, Dry Eyes","Depression, Pain, Stress, Lack of Appetite, Nausea","Quin-N-Tonic,Relaxed, Hungry, Happy, Tingly, Focused,Blueberry, Sweet, Pungent,Depression, Pain, Stress, Lack of Appetite, Nausea"
Qush,indica,"Flowery, Citrus, Pungent","Relaxed, Hungry, Happy, Uplifted, Sleepy",Not Available,"Depression, Insomnia, Pain, Stress, Lack of Appetite","Qush,Relaxed, Hungry, Happy, Uplifted, Sleepy,Flowery, Citrus, Pungent,Depression, Insomnia, Pain, Stress, Lack of Appetite"
R-4,hybrid,"Earthy, Nutty, Butter","Relaxed, Happy, Uplifted",Not Available,"Depression, Pain, Cramps, Nausea, Inflammation","R-4,Relaxed, Happy, Uplifted,Earthy, Nutty, Butter,Depression, Pain, Cramps, Nausea, Inflammation"
Rainbow,hybrid,"Sweet, Tropical, Pineapple","Relaxed, Hungry, Euphoric, Happy, Uplifted","Dizzy, Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Pain, Stress, Nausea, Muscle Spasms","Rainbow,Relaxed, Hungry, Euphoric, Happy, Uplifted,Sweet, Tropical, Pineapple,Depression, Pain, Stress, Nausea, Muscle Spasms"
Rainbow Jones,indica,"Citrus, Diesel, Grape","Relaxed, Happy, Talkative, Uplifted, Aroused",Not Available,"Depression, Stress, Lack of Appetite, Headaches, Inflammation","Rainbow Jones,Relaxed, Happy, Talkative, Uplifted, Aroused,Citrus, Diesel, Grape,Depression, Stress, Lack of Appetite, Headaches, Inflammation"
Rare Dankness #1,indica,"Earthy, Berry, Pine","Relaxed, Euphoric, Happy, Creative, Giggly",Dry Mouth,"Depression, Pain, Stress, Fatigue, Muscle Spasms","Rare Dankness #1,Relaxed, Euphoric, Happy, Creative, Giggly,Earthy, Berry, Pine,Depression, Pain, Stress, Fatigue, Muscle Spasms"
Rare Darkness,indica,"Grape, Sweet, Berry","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Dizzy, Dry Mouth, Dry Eyes","Depression, Insomnia, Pain, Stress, Lack of Appetite, Headache","Rare Darkness,Relaxed, Euphoric, Happy, Uplifted, Sleepy,Grape, Sweet, Berry,Depression, Insomnia, Pain, Stress, Lack of Appetite, Headache"
Raskal OG,hybrid,"Earthy, Lemon, Pungent","Relaxed, Euphoric, Happy, Focused, Giggly","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Pain, Stress, Lack of Appetite, Headache, Fatigue","Raskal OG,Relaxed, Euphoric, Happy, Focused, Giggly,Earthy, Lemon, Pungent,Depression, Pain, Stress, Lack of Appetite, Headache, Fatigue"
Raspberry Cough,sativa,"Berry, Earthy, Sweet","Relaxed, Euphoric, Happy, Energetic, Uplifted","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Pain, Stress, Nausea, Headaches","Raspberry Cough,Relaxed, Euphoric, Happy, Energetic, Uplifted,Berry, Earthy, Sweet,Depression, Pain, Stress, Nausea, Headaches"
Raspberry Kush,indica,"Berry, Sweet, Flowery","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Insomnia, Pain, Stress, Nausea, Headache","Raspberry Kush,Relaxed, Euphoric, Happy, Uplifted, Sleepy,Berry, Sweet, Flowery,Depression, Insomnia, Pain, Stress, Nausea, Headache"
Raw Diesel,hybrid,"Diesel, Earthy, Citrus","Relaxed, Hungry, Uplifted, Sleepy",Dry Mouth,"Depression, Pain, Stress, Nausea, Headaches","Raw Diesel,Relaxed, Hungry, Uplifted, Sleepy,Diesel, Earthy, Citrus,Depression, Pain, Stress, Nausea, Headaches"
Ray Charles,indica,"Earthy, Sweet, Pungent","Relaxed, Euphoric, Happy, Tingly, Sleepy",Not Available,"Depression, Insomnia, Pain, Stress, Eye Pressure","Ray Charles,Relaxed, Euphoric, Happy, Tingly, Sleepy,Earthy, Sweet, Pungent,Depression, Insomnia, Pain, Stress, Eye Pressure"
Rebel Berry OG,hybrid,"Blueberry, Apple, Berry","Euphoric, Happy, Uplifted, Giggly, Aroused",Not Available,"Depression, Insomnia, Cramps, Lack of Appetite, Headaches","Rebel Berry OG,Euphoric, Happy, Uplifted, Giggly, Aroused,Blueberry, Apple, Berry,Depression, Insomnia, Cramps, Lack of Appetite, Headaches"
Reclining Buddha,indica,"Flowery, Pungent, Citrus","Relaxed, Euphoric, Happy, Creative, Giggly","Dry Mouth, Paranoid, Dry Eyes","Depression, Insomnia, Stress, Headaches, Inflammation","Reclining Buddha,Relaxed, Euphoric, Happy, Creative, Giggly,Flowery, Pungent, Citrus,Depression, Insomnia, Stress, Headaches, Inflammation"
Recon,indica,"Sweet, Earthy, Woody","Relaxed, Hungry, Euphoric, Happy, Sleepy","Dizzy, Dry Mouth, Paranoid, Dry Eyes, Anxious","Insomnia, Pain, Nausea, Inflammation, Muscle Spasms","Recon,Relaxed, Hungry, Euphoric, Happy, Sleepy,Sweet, Earthy, Woody,Insomnia, Pain, Nausea, Inflammation, Muscle Spasms"
Red Cherry Berry,hybrid,"Berry, Earthy, Pungent","Relaxed, Euphoric, Happy, Sleepy, Giggly","Dizzy, Dry Mouth, Dry Eyes","Depression, Pain, Stress, Lack of Appetite, Headache, Headaches","Red Cherry Berry,Relaxed, Euphoric, Happy, Sleepy, Giggly,Berry, Earthy, Pungent,Depression, Pain, Stress, Lack of Appetite, Headache, Headaches"
Red Congolese,sativa,"Sweet, Earthy, Spicy/Herbal","Happy, Creative, Energetic, Uplifted, Focused","Dizzy, Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Pain, Stress, Fatigue, Inflammation","Red Congolese,Happy, Creative, Energetic, Uplifted, Focused,Sweet, Earthy, Spicy/Herbal,Depression, Pain, Stress, Fatigue, Inflammation"
Red Diesel,hybrid,"Diesel, Earthy, Sweet","Relaxed, Euphoric, Happy, Uplifted, Giggly","Dizzy, Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Pain, Stress, Fatigue, Headaches","Red Diesel,Relaxed, Euphoric, Happy, Uplifted, Giggly,Diesel, Earthy, Sweet,Depression, Pain, Stress, Fatigue, Headaches"
Red Dragon,hybrid,"Sweet, Woody, Earthy","Relaxed, Euphoric, Happy, Energetic, Uplifted","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Pain, Stress, Nausea, Headache, Muscle Spasms","Red Dragon,Relaxed, Euphoric, Happy, Energetic, Uplifted,Sweet, Woody, Earthy,Depression, Pain, Stress, Nausea, Headache, Muscle Spasms"
Red Dwarf,indica,"Skunk, Earthy, Flowery","Relaxed, Euphoric, Happy, Talkative, Sleepy","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Insomnia, Pain, Stress, Headache, Inflammation","Red Dwarf,Relaxed, Euphoric, Happy, Talkative, Sleepy,Skunk, Earthy, Flowery,Depression, Insomnia, Pain, Stress, Headache, Inflammation"
Red Eye OG,indica,"Earthy, Pungent, Citrus","Relaxed, Euphoric, Happy, Sleepy","Dizzy, Dry Mouth, Dry Eyes","Insomnia, Pain, Stress, Fatigue, Inflammation","Red Eye OG,Relaxed, Euphoric, Happy, Sleepy,Earthy, Pungent, Citrus,Insomnia, Pain, Stress, Fatigue, Inflammation"
Red Haze,sativa,"Earthy, Sweet, Woody","Relaxed, Happy, Energetic, Uplifted, Focused","Dizzy, Dry Mouth, Dry Eyes","Depression, Insomnia, Pain, Stress, Headache, Fatigue","Red Haze,Relaxed, Happy, Energetic, Uplifted, Focused,Earthy, Sweet, Woody,Depression, Insomnia, Pain, Stress, Headache, Fatigue"
Red Headed Stranger,sativa,"Citrus, Spicy/Herbal, Sweet","Happy, Creative, Energetic, Uplifted, Focused",Dry Mouth,"Depression, Pain, Stress, Lack of Appetite, Fatigue","Red Headed Stranger,Happy, Creative, Energetic, Uplifted, Focused,Citrus, Spicy/Herbal, Sweet,Depression, Pain, Stress, Lack of Appetite, Fatigue"
Red Poison,hybrid,"Sweet, Earthy, Woody","Relaxed, Euphoric, Happy, Talkative",Dry Mouth,"Depression, Insomnia, Pain, Stress, Muscle Spasms","Red Poison,Relaxed, Euphoric, Happy, Talkative,Sweet, Earthy, Woody,Depression, Insomnia, Pain, Stress, Muscle Spasms"
Red Widow,hybrid,"Butter, Skunk, Tropical","Relaxed, Happy, Energetic, Uplifted, Focused",Not Available,,"Red Widow,Relaxed, Happy, Energetic, Uplifted, Focused,Butter, Skunk, Tropical,"
Redwood Kush,indica,"Woody, Pine, Sweet","Relaxed, Euphoric, Uplifted, Focused","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Insomnia, Pain, Lack of Appetite, Nausea, Headache, Headaches","Redwood Kush,Relaxed, Euphoric, Uplifted, Focused,Woody, Pine, Sweet,Insomnia, Pain, Lack of Appetite, Nausea, Headache, Headaches"
Remedy,indica,"Citrus, Earthy, Woody","Relaxed, Hungry, Happy, Sleepy, Focused",Dry Mouth,"Depression, Insomnia, Pain, Stress, Inflammation","Remedy,Relaxed, Hungry, Happy, Sleepy, Focused,Citrus, Earthy, Woody,Depression, Insomnia, Pain, Stress, Inflammation"
Rene,hybrid,"Earthy, Citrus, Pine","Relaxed, Hungry, Happy, Uplifted, Aroused","Dizzy, Dry Mouth, Dry Eyes","Depression, Pain, Stress, Lack of Appetite, Inflammation","Rene,Relaxed, Hungry, Happy, Uplifted, Aroused,Earthy, Citrus, Pine,Depression, Pain, Stress, Lack of Appetite, Inflammation"
Rene Mist,hybrid,"Rose, Pungent, Skunk","Relaxed, Hungry, Happy, Talkative, Aroused","Dizzy, Dry Mouth, Dry Eyes","Depression, Pain, Stress, Lack of Appetite, Inflammation","Rene Mist,Relaxed, Hungry, Happy, Talkative, Aroused,Rose, Pungent, Skunk,Depression, Pain, Stress, Lack of Appetite, Inflammation"
Richie Rich,hybrid,"Sweet, Lemon, Mango","Relaxed, Hungry, Euphoric, Happy","Dry Mouth, Dry Eyes","Pain, Stress, Cramps, Headaches, Eye Pressure","Richie Rich,Relaxed, Hungry, Euphoric, Happy,Sweet, Lemon, Mango,Pain, Stress, Cramps, Headaches, Eye Pressure"
Riddler OG,hybrid,"Earthy, Flowery, Pungent","Creative, Aroused","Dizzy, Dry Eyes, Anxious","Depression, Insomnia, Lack of Appetite, Headaches, Inflammation","Riddler OG,Creative, Aroused,Earthy, Flowery, Pungent,Depression, Insomnia, Lack of Appetite, Headaches, Inflammation"
Ringo's Gift,hybrid,"Earthy, Pine, Sweet","Relaxed, Happy, Uplifted, Focused","Dry Mouth, Dry Eyes, Anxious","Pain, Stress, Fatigue, Headaches, Inflammation","Ringo's Gift,Relaxed, Happy, Uplifted, Focused,Earthy, Pine, Sweet,Pain, Stress, Fatigue, Headaches, Inflammation"
Rip City Purps,indica,"Earthy, Flowery, Grape","Relaxed, Euphoric, Happy, Creative, Sleepy",Not Available,"Depression, Insomnia, Cramps, Inflammation, Muscle Spasms","Rip City Purps,Relaxed, Euphoric, Happy, Creative, Sleepy,Earthy, Flowery, Grape,Depression, Insomnia, Cramps, Inflammation, Muscle Spasms"
Ripped Bubba,hybrid,"Sweet, Citrus, Lemon","Relaxed, Hungry, Euphoric, Happy","Dizzy, Dry Mouth, Dry Eyes, Anxious","Insomnia, Pain, Stress, Lack of Appetite, Headache, Headaches","Ripped Bubba,Relaxed, Hungry, Euphoric, Happy,Sweet, Citrus, Lemon,Insomnia, Pain, Stress, Lack of Appetite, Headache, Headaches"
Rob Ford Kush,hybrid,"Skunk, Earthy, Pungent","Relaxed, Hungry, Euphoric, Happy, Giggly",Not Available,"Insomnia, Pain, Stress, Lack of Appetite, Nausea","Rob Ford Kush,Relaxed, Hungry, Euphoric, Happy, Giggly,Skunk, Earthy, Pungent,Insomnia, Pain, Stress, Lack of Appetite, Nausea"
Robert Plant,sativa,"Blueberry, Earthy, Honey","Relaxed, Happy, Energetic, Uplifted, Giggly",Not Available,"Depression, Pain, Stress, Fatigue, Headaches","Robert Plant,Relaxed, Happy, Energetic, Uplifted, Giggly,Blueberry, Earthy, Honey,Depression, Pain, Stress, Fatigue, Headaches"
Rockbud,indica,"Skunk, Pungent, Blue Cheese","Relaxed, Euphoric, Happy, Creative, Sleepy","Dry Mouth, Paranoid, Dry Eyes","Depression, Insomnia, Pain, Nausea, Headache, Eye Pressure","Rockbud,Relaxed, Euphoric, Happy, Creative, Sleepy,Skunk, Pungent, Blue Cheese,Depression, Insomnia, Pain, Nausea, Headache, Eye Pressure"
Rocklock,indica,"Sweet, Lavender, Pungent","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Dry Mouth, Paranoid, Dry Eyes","Depression, Pain, Lack of Appetite, Nausea, Headache, Fatigue","Rocklock,Relaxed, Euphoric, Happy, Uplifted, Sleepy,Sweet, Lavender, Pungent,Depression, Pain, Lack of Appetite, Nausea, Headache, Fatigue"
Rockstar,indica,"Earthy, Pungent, Spicy/Herbal","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Dizzy, Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Insomnia, Pain, Stress, Headaches","Rockstar,Relaxed, Euphoric, Happy, Uplifted, Sleepy,Earthy, Pungent, Spicy/Herbal,Depression, Insomnia, Pain, Stress, Headaches"
Rockstar Kush,indica,"Pungent, Skunk, Spicy/Herbal","Relaxed, Hungry, Euphoric, Happy, Sleepy","Dry Mouth, Dry Eyes, Anxious","Depression, Insomnia, Stress, Lack of Appetite, Inflammation","Rockstar Kush,Relaxed, Hungry, Euphoric, Happy, Sleepy,Pungent, Skunk, Spicy/Herbal,Depression, Insomnia, Stress, Lack of Appetite, Inflammation"
Rockstar Master Kush,indica,"Pine, Sweet, Berry","Relaxed, Hungry, Euphoric, Sleepy, Giggly","Dry Mouth, Dry Eyes","Depression, Insomnia, Pain, Stress, Lack of Appetite","Rockstar Master Kush,Relaxed, Hungry, Euphoric, Sleepy, Giggly,Pine, Sweet, Berry,Depression, Insomnia, Pain, Stress, Lack of Appetite"
Rocky Mountain Blueberry,indica,"Blueberry, Berry, Sweet","Relaxed, Euphoric, Happy, Uplifted","Dry Mouth, Paranoid, Dry Eyes","Depression, Insomnia, Stress, Cramps, Fatigue","Rocky Mountain Blueberry,Relaxed, Euphoric, Happy, Uplifted,Blueberry, Berry, Sweet,Depression, Insomnia, Stress, Cramps, Fatigue"
Rocky Mountain High,hybrid,"Earthy, Skunk, Citrus","Relaxed, Euphoric, Creative, Uplifted, Focused","Paranoid, Anxious","Pain, Stress, Nausea, Fatigue, Eye Pressure","Rocky Mountain High,Relaxed, Euphoric, Creative, Uplifted, Focused,Earthy, Skunk, Citrus,Pain, Stress, Nausea, Fatigue, Eye Pressure"
Rollex OG Kush,indica,"Earthy, Sweet, Cheese","Relaxed, Happy, Uplifted, Giggly",Dry Mouth,"Depression, Pain, Stress, Fatigue, Headaches","Rollex OG Kush,Relaxed, Happy, Uplifted, Giggly,Earthy, Sweet, Cheese,Depression, Pain, Stress, Fatigue, Headaches"
Rolls Choice,hybrid,"Diesel, Pine, Pungent","Relaxed, Euphoric, Happy, Energetic, Uplifted","Dry Mouth, Dry Eyes","Depression, Pain, Stress, Fatigue, Inflammation","Rolls Choice,Relaxed, Euphoric, Happy, Energetic, Uplifted,Diesel, Pine, Pungent,Depression, Pain, Stress, Fatigue, Inflammation"
Romping Goddess,hybrid,"Earthy, Pine, Tree Fruit","Hungry, Happy, Creative, Giggly","Dizzy, Dry Mouth, Dry Eyes","Insomnia, Pain, Stress, Nausea, Muscle Spasms","Romping Goddess,Hungry, Happy, Creative, Giggly,Earthy, Pine, Tree Fruit,Insomnia, Pain, Stress, Nausea, Muscle Spasms"
Romulan,indica,"Earthy, Pine, Pungent","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Dizzy, Dry Mouth, Paranoid, Dry Eyes, Anxious","Insomnia, Pain, Stress, Headaches, Muscle Spasms","Romulan,Relaxed, Euphoric, Happy, Uplifted, Sleepy,Earthy, Pine, Pungent,Insomnia, Pain, Stress, Headaches, Muscle Spasms"
Romulan Grapefruit,hybrid,"Grapefruit, Lemon, Lime","Relaxed, Creative, Tingly, Sleepy, Focused","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Insomnia, Pain, Stress, Nausea, Headache, Inflammation","Romulan Grapefruit,Relaxed, Creative, Tingly, Sleepy, Focused,Grapefruit, Lemon, Lime,Insomnia, Pain, Stress, Nausea, Headache, Inflammation"
Romulan Haze,hybrid,"Pungent, Citrus, Skunk","Relaxed, Euphoric, Energetic, Focused","Paranoid, Dry Eyes, Anxious","Depression, Pain, Stress, Fatigue, Eye Pressure","Romulan Haze,Relaxed, Euphoric, Energetic, Focused,Pungent, Citrus, Skunk,Depression, Pain, Stress, Fatigue, Eye Pressure"
Root Beer Kush,sativa,"Sweet, Vanilla, Pungent","Relaxed, Happy, Energetic, Uplifted, Giggly","Dry Mouth, Paranoid, Dry Eyes","Pain, Stress, Nausea, Fatigue, Eye Pressure","Root Beer Kush,Relaxed, Happy, Energetic, Uplifted, Giggly,Sweet, Vanilla, Pungent,Pain, Stress, Nausea, Fatigue, Eye Pressure"
Rose Bud,indica,"Rose, Flowery, Sweet","Relaxed, Euphoric, Creative, Uplifted, Focused","Paranoid, Dry Eyes, Anxious","Depression, Pain, Stress, Inflammation, Muscle Spasms","Rose Bud,Relaxed, Euphoric, Creative, Uplifted, Focused,Rose, Flowery, Sweet,Depression, Pain, Stress, Inflammation, Muscle Spasms"
Royal Chemdawg,hybrid,"Citrus, Diesel, Chemical","Relaxed, Happy, Uplifted, Sleepy, Giggly",Dizzy,"Depression, Insomnia, Stress, Fatigue, Headaches","Royal Chemdawg,Relaxed, Happy, Uplifted, Sleepy, Giggly,Citrus, Diesel, Chemical,Depression, Insomnia, Stress, Fatigue, Headaches"
Royal Dwarf,hybrid,"Skunk, Honey, Lemon","Relaxed, Hungry, Happy, Tingly",Dry Mouth,"Depression, Pain, Stress, Eye Pressure, Muscle Spasms","Royal Dwarf,Relaxed, Hungry, Happy, Tingly,Skunk, Honey, Lemon,Depression, Pain, Stress, Eye Pressure, Muscle Spasms"
Royal Haze,sativa,"Skunk, Citrus, Tropical","Euphoric, Happy, Creative, Energetic, Uplifted","Dry Mouth, Dry Eyes","Depression, Pain, Stress, Fatigue, Eye Pressure","Royal Haze,Euphoric, Happy, Creative, Energetic, Uplifted,Skunk, Citrus, Tropical,Depression, Pain, Stress, Fatigue, Eye Pressure"
Royal Highness,hybrid,"Flowery, Woody, Coffee","Hungry, Happy, Talkative, Uplifted, Focused",Not Available,"Depression, Insomnia, Pain, Stress, Fatigue","Royal Highness,Hungry, Happy, Talkative, Uplifted, Focused,Flowery, Woody, Coffee,Depression, Insomnia, Pain, Stress, Fatigue"
Royal Kush,hybrid,"Earthy, Skunk, Pine","Relaxed, Euphoric, Happy, Uplifted, Sleepy","Dizzy, Dry Mouth, Paranoid, Dry Eyes, Anxious","Insomnia, Pain, Stress, Headaches, Muscle Spasms","Royal Kush,Relaxed, Euphoric, Happy, Uplifted, Sleepy,Earthy, Skunk, Pine,Insomnia, Pain, Stress, Headaches, Muscle Spasms"
Rubicon,hybrid,"Flowery, Earthy, Lavender","Relaxed, Hungry, Euphoric, Happy, Uplifted",Not Available,"Depression, Pain, Stress, Fatigue, Inflammation","Rubicon,Relaxed, Hungry, Euphoric, Happy, Uplifted,Flowery, Earthy, Lavender,Depression, Pain, Stress, Fatigue, Inflammation"
RudeBoi OG,hybrid,"Earthy, Woody, Pine","Relaxed, Euphoric, Happy, Uplifted, Sleepy",Dry Mouth,"Depression, Insomnia, Pain, Stress, Lack of Appetite","RudeBoi OG,Relaxed, Euphoric, Happy, Uplifted, Sleepy,Earthy, Woody, Pine,Depression, Insomnia, Pain, Stress, Lack of Appetite"
Rug Burn OG,hybrid,"Spicy/Herbal, Citrus, Sweet","Relaxed, Euphoric, Happy, Uplifted, Focused","Dizzy, Dry Mouth, Dry Eyes, Anxious","Depression, Insomnia, Pain, Stress, Muscle Spasms","Rug Burn OG,Relaxed, Euphoric, Happy, Uplifted, Focused,Spicy/Herbal, Citrus, Sweet,Depression, Insomnia, Pain, Stress, Muscle Spasms"
Russian Assassin,indica,"Diesel, Skunk, Ammonia","Relaxed, Happy, Tingly, Sleepy, Focused","Dry Mouth, Paranoid, Dry Eyes, Anxious","Insomnia, Pain, Stress, Lack of Appetite, Nausea","Russian Assassin,Relaxed, Happy, Tingly, Sleepy, Focused,Diesel, Skunk, Ammonia,Insomnia, Pain, Stress, Lack of Appetite, Nausea"
Russian Rocket Fuel,hybrid,"Spicy/Herbal, Diesel, Menthol","Relaxed, Euphoric, Happy, Creative, Uplifted",Dry Mouth,"Depression, Pain, Lack of Appetite, Nausea, Eye Pressure","Russian Rocket Fuel,Relaxed, Euphoric, Happy, Creative, Uplifted,Spicy/Herbal, Diesel, Menthol,Depression, Pain, Lack of Appetite, Nausea, Eye Pressure"
SAGE,hybrid,"Pine, Earthy, Sage","Relaxed, Euphoric, Happy, Energetic, Uplifted","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Depression, Pain, Stress, Headache, Headaches, Muscle Spasms","SAGE,Relaxed, Euphoric, Happy, Energetic, Uplifted,Pine, Earthy, Sage,Depression, Pain, Stress, Headache, Headaches, Muscle Spasms"
SFV Dog,hybrid,"Pungent, Pine, Citrus","Relaxed, Euphoric, Happy, Sleepy, Focused","Dry Mouth, Paranoid, Dry Eyes","Depression, Pain, Stress, Nausea, Muscle Spasms","SFV Dog,Relaxed, Euphoric, Happy, Sleepy, Focused,Pungent, Pine, Citrus,Depression, Pain, Stress, Nausea, Muscle Spasms"
SFV OG,hybrid,"Pine, Earthy, Pungent","Relaxed, Euphoric, Happy, Uplifted, Focused","Dry Mouth, Paranoid, Dry Eyes, Anxious","Depression, Pain, Stress, Nausea, Headache, Fatigue","SFV OG,Relaxed, Euphoric, Happy, Uplifted, Focused,Pine, Earthy, Pungent,Depression, Pain, Stress, Nausea, Headache, Fatigue"
SFV OG Kush,indica,"Lemon, Citrus, Diesel","Relaxed, Hungry, Euphoric, Happy, Sleepy","Dizzy, Dry Mouth, Dry Eyes","Insomnia, Pain, Stress, Lack of Appetite, Headache, Muscle Spasms","SFV OG Kush,Relaxed, Hungry, Euphoric, Happy, Sleepy,Lemon, Citrus, Diesel,Insomnia, Pain, Stress, Lack of Appetite, Headache, Muscle Spasms"
